[INFO] l2p.py:357 > Train | Sample # 1008 | train_loss 3.5061 | train_acc 0.1250 | lr 0.002999 | running_time 0:01:31 | ETA 1:14:30
[INFO] l2p.py:357 > Train | Sample # 1024 | train_loss 3.5144 | train_acc 0.0625 | lr 0.002999 | running_time 0:01:33 | ETA 1:14:42
[INFO] l2p.py:357 > Train | Sample # 1040 | train_loss 3.3304 | train_acc 0.0625 | lr 0.002999 | running_time 0:01:35 | ETA 1:14:35
[INFO] l2p.py:357 > Train | Sample # 1056 | train_loss 3.1942 | train_acc 0.0000 | lr 0.002999 | running_time 0:01:36 | ETA 1:14:13
[INFO] l2p.py:357 > Train | Sample # 1072 | train_loss 3.5530 | train_acc 0.0625 | lr 0.002998 | running_time 0:01:37 | ETA 1:14:01
[INFO] l2p.py:357 > Train | Sample # 1088 | train_loss 4.0024 | train_acc 0.0625 | lr 0.003000 | running_time 0:01:38 | ETA 1:13:58
[INFO] l2p.py:357 > Train | Sample # 1104 | train_loss 3.5497 | train_acc 0.0625 | lr 0.002999 | running_time 0:01:39 | ETA 1:13:46
[INFO] l2p.py:357 > Train | Sample # 1120 | train_loss 3.6977 | train_acc 0.0625 | lr 0.002999 | running_time 0:01:40 | ETA 1:13:09
[INFO] l2p.py:357 > Train | Sample # 1136 | train_loss 3.5254 | train_acc 0.0625 | lr 0.002999 | running_time 0:01:41 | ETA 1:12:43
[INFO] l2p.py:357 > Train | Sample # 1152 | train_loss 3.8285 | train_acc 0.1250 | lr 0.002999 | running_time 0:01:42 | ETA 1:12:19
[INFO] l2p.py:357 > Train | Sample # 1168 | train_loss 3.7945 | train_acc 0.0625 | lr 0.002998 | running_time 0:01:42 | ETA 1:11:44
[INFO] l2p.py:357 > Train | Sample # 1184 | train_loss 3.4032 | train_acc 0.0625 | lr 0.002998 | running_time 0:01:44 | ETA 1:11:49
[INFO] l2p.py:357 > Train | Sample # 1200 | train_loss 3.6241 | train_acc 0.0000 | lr 0.002998 | running_time 0:01:45 | ETA 1:11:46
[INFO] l2p.py:357 > Train | Sample # 1216 | train_loss 3.4921 | train_acc 0.0625 | lr 0.002997 | running_time 0:01:47 | ETA 1:11:41
[INFO] l2p.py:357 > Train | Sample # 1232 | train_loss 3.4854 | train_acc 0.0625 | lr 0.002997 | running_time 0:01:48 | ETA 1:11:37
[INFO] l2p.py:357 > Train | Sample # 1248 | train_loss 3.6778 | train_acc 0.0000 | lr 0.002997 | running_time 0:01:49 | ETA 1:11:33
